"Stadtteile (9)","Stadtteil","Alter","","evangelisch","römisch-katholisch","sonstige/keine Religion","men","women","deutsch","nichtdeutsch","Deutsch ohne Zuwanderungsgeschichte","Deutsch mit Zuwanderungsgeschichte","nichtdeutsch","Gesamt"
"","","71","71 Jahre",78,42,72,106,86,155,37,121,34,37,192
"","","72","72 Jahre",85,41,66,90,102,152,40,137,15,40,192
"","","73","73 Jahre",57,39,43,63,76,116,23,84,32,23,139
"","","74","74 Jahre",74,51,42,81,86,144,23,108,36,23,167
"","","75","75 Jahre",68,41,53,56,106,140,22,103,37,22,162
"","","76","76 Jahre",102,39,54,80,115,170,25,123,47,25,195
"","","77","77 Jahre",111,64,45,88,132,198,22,142,56,22,220
"","","78","78 Jahre",114,68,54,111,125,215,21,159,56,21,236
"","","79","79 Jahre",113,62,58,89,144,215,18,158,57,18,233
"","","80","80 Jahre",130,58,35,90,133,211,12,144,67,12,223
"","","81","81 Jahre",123,58,47,90,138,213,15,148,65,15,228
"","","82","82 Jahre",104,37,30,63,108,164,7,125,39,7,171
"","","83","83 Jahre",91,45,36,71,101,162,10,126,36,10,172
"","","84","84 Jahre",64,37,27,56,72,123,5,89,34,5,128
"","","85","85 Jahre",79,37,28,65,79,135,9,101,34,9,144
"","","86","86 Jahre",60,32,19,34,77,108,3,74,34,3,111
"","","87","87 Jahre",53,25,2,30,50,78,2,52,26,2,80
"","","88","88 Jahre",61,19,12,32,60,89,3,65,24,3,92
"","","89","89 Jahre",33,21,6,24,36,59,1,44,15,1,60
"","","90","90 Jahre",34,20,10,22,42,63,1,44,19,1,64
"","","91","91 Jahre",29,5,6,15,25,40,"0",34,6,"0",40
"","","92","92 Jahre",27,8,6,10,31,41,"0",30,11,"0",41
"","","93","93 Jahre",16,5,"0",3,18,21,"0",13,8,"0",21
"","","94","94 Jahre",11,8,2,3,18,20,1,15,5,1,21
"","","95","95 Jahre",12,4,2,3,15,17,1,16,1,1,18
"","","96","96 Jahre",5,4,2,1,10,11,"0",8,3,"0",11
"","","97","97 Jahre",6,2,"0",5,3,8,"0",7,1,"0",8
"","","98","98 Jahre",5,"0","0","0",5,5,"0",5,"0","0",5
"","","99","99 Jahre oder �lter",2,1,"0",1,2,3,"0",2,1,"0",3
"","","Summe","",6.881,4.976,11.448,11.606,11.699,17.243,6.062,10.114,7.129,6.062,23.305
"004","Neckargartach","00","0 Jahre",5,6,92,57,46,73,30,29,44,30,103
"","","01","1 Jahr",10,7,84,46,55,82,19,24,58,19,101
"","","02","2 Jahre",15,12,82,55,54,82,27,29,53,27,109
"","","03","3 Jahre",15,13,74,51,51,86,16,25,61,16,102
"","","04","4 Jahre",14,15,60,49,40,68,21,27,41,21,89
"","","05","5 Jahre",13,17,74,57,47,79,25,22,57,25,104
"","","06","6 Jahre",20,23,68,58,53,87,24,21,66,24,111
"","","07","7 Jahre",13,8,60,50,31,68,13,23,45,13,81
"","","08","8 Jahre",20,19,67,56,50,86,20,25,61,20,106
"","","09","9 Jahre",22,23,60,54,51,82,23,20,62,23,105
"","","10","10 Jahre",25,13,51,49,40,73,16,22,51,16,89
"","","11","11 Jahre",19,26,59,55,49,79,25,18,61,25,104
"","","12","12 Jahre",24,17,50,44,47,78,13,26,52,13,91
"","","13","13 Jahre",24,21,50,56,39,76,19,19,57,19,95
"","","14","14 Jahre",20,17,48,47,38,66,19,22,44,19,85
"","","15","15 Jahre",29,12,47,45,43,73,15,28,45,15,88
"","","16","16 Jahre",27,14,50,49,42,71,20,25,46,20,91
"","","17","17 Jahre",33,19,57,61,48,93,16,35,58,16,109
"","","18","18 Jahre",25,20,48,57,36,65,28,33,32,28,93
"","","19","19 Jahre",30,19,62,51,60,72,39,46,26,39,111
"","","20","20 Jahre",33,26,51,56,54,75,35,45,30,35,110
"","","21","21 Jahre",31,32,61,63,61,81,43,49,32,43,124
"","","22","22 Jahre",31,35,63,62,67,75,54,50,25,54,129
"","","23","23 Jahre",34,18,52,59,45,66,38,44,22,38,104
"","","24","24 Jahre",25,16,52,51,42,61,32,38,23,32,93
"","","25","25 Jahre",30,32,71,70,63,80,53,56,24,53,133
"","","26","26 Jahre",32,38,66,64,72,81,55,56,25,55,136
"","","27","27 Jahre",37,23,66,61,65,87,39,55,32,39,126
"","","28","28 Jahre",47,31,82,82,78,108,52,71,37,52,160
"","","29","29 Jahre",41,29,94,85,79,100,64,69,31,64,164
"","","30","30 Jahre",36,25,84,83,62,91,54,63,28,54,145
"","","31","31 Jahre",37,33,88,92,66,94,64,57,37,64,158
"","","32","32 Jahre",38,34,73,65,80,95,50,65,30,50,145
"","","33","33 Jahre",28,35,78,81,60,86,55,54,32,55,141
"","","34","34 Jahre",41,26,80,72,75,95,52,61,34,52,147
"","","35","35 Jahre",36,29,85,86,64,100,50,62,38,50,150
"","","36","36 Jahre",39,20,68,63,64,88,39,50,38,39,127
"","","37","37 Jahre",24,23,80,67,60,73,54,45,28,54,127
"","","38","38 Jahre",31,23,87,71,70,82,59,41,41,59,141
"","","39","39 Jahre",29,28,69,74,52,80,46,43,37,46,126
"","","40","40 Jahre",37,25,68,65,65,80,50,43,37,50,130
"","","41","41 Jahre",20,32,74,68,58,70,56,40,30,56,126
"","","42","42 Jahre",24,22,79,62,63,69,56,43,26,56,125
"","","43","43 Jahre",28,25,68,61,60,75,46,46,29,46,121
"","","44","44 Jahre",19,32,82,60,73,70,63,33,37,63,133
"","","45","45 Jahre",26,29,70,72,53,72,53,43,29,53,125
"","","46","46 Jahre",37,30,72,65,74,92,47,59,33,47,139
"","","47","47 Jahre",23,29,59,56,55,77,34,56,21,34,111
"","","48","48 Jahre",32,21,78,69,62,86,45,59,27,45,131
"","","49","49 Jahre",29,38,75,68,74,98,44,70,28,44,142
"","","50","50 Jahre",44,35,72,86,65,114,37,82,32,37,151
"","","51","51 Jahre",41,27,80,73,75,110,38,79,31,38,148
"","","52","52 Jahre",39,36,71,77,69,109,37,73,36,37,146
"","","53","53 Jahre",44,42,59,74,71,110,35,80,30,35,145
"","","54","54 Jahre",48,38,67,74,79,122,31,89,33,31,153
"","","55","55 Jahre",46,30,55,76,55,107,24,71,36,24,131
"","","56","56 Jahre",47,44,64,76,79,131,24,88,43,24,155
"","","57","57 Jahre",46,33,67,84,62,120,26,80,40,26,146
"","","58","58 Jahre",52,34,58,63,81,127,17,83,44,17,144
"","","59","59 Jahre",58,33,55,63,83,129,17,94,35,17,146
"","","60","60 Jahre",43,28,52,57,66,102,21,68,34,21,123
"","","61","61 Jahre",47,37,59,71,72,124,19,84,40,19,143
"","","62","62 Jahre",50,23,53,59,67,112,14,81,31,14,126
"","","63","63 Jahre",39,22,43,46,58,85,19,55,30,19,104
"","","64","64 Jahre",45,34,38,64,53,106,11,83,23,11,117
"","","65","65 Jahre",40,35,37,54,58,94,18,67,27,18,112
"","","66","66 Jahre",43,33,44,50,70,104,16,69,35,16,120
"","","67","67 Jahre",35,23,36,42,52,84,10,59,25,10,94
"","","68","68 Jahre",20,19,35,32,42,57,17,42,15,17,74
"","","69","69 Jahre",28,25,43,46,50,78,18,58,20,18,96
"","","70","70 Jahre",36,14,29,38,41,62,17,57,5,17,79
"","","71","71 Jahre",40,21,30,45,46,77,14,63,14,14,91
"","","72","72 Jahre",20,14,31,30,35,53,12,47,6,12,65
"","","73","73 Jahre",33,11,36,34,46,60,20,50,10,20,80
"","","74","74 Jahre",35,17,18,33,37,60,10,53,7,10,70
"","","75","75 Jahre",30,20,23,28,45,61,12,48,13,12,73
"","","76","76 Jahre",38,20,24,41,41,70,12,56,14,12,82
"","","77","77 Jahre",40,21,29,36,54,78,12,59,19,12,90
"","","78","78 Jahre",42,25,27,50,44,85,9,69,16,9,94
"","","79","79 Jahre",44,23,16,36,47,76,7,58,18,7,83
"","","80","80 Jahre",40,15,16,29,42,64,7,58,6,7,71
"","","81","81 Jahre",65,19,13,36,61,88,9,72,16,9,97
"","","82","82 Jahre",58,14,10,39,43,78,4,67,11,4,82
"","","83","83 Jahre",44,17,15,36,40,70,6,56,14,6,76
"","","84","84 Jahre",31,14,6,20,31,47,4,33,14,4,51
"","","85","85 Jahre",23,12,5,13,27,36,4,31,5,4,40
"","","86","86 Jahre",21,11,5,14,23,34,3,23,11,3,37
"","","87","87 Jahre",22,13,5,12,28,40,"0",26,14,"0",40
"","","88","88 Jahre",24,7,4,20,15,33,2,27,6,2,35
"","","89","89 Jahre",14,6,1,7,14,20,1,17,3,1,21
"","","90","90 Jahre",13,1,3,7,10,17,"0",12,5,"0",17
"","","91","91 Jahre",6,2,2,5,5,10,"0",9,1,"0",10
"","","92","92 Jahre",6,3,2,6,5,11,"0",7,4,"0",11
"","","93","93 Jahre",6,2,1,3,6,9,"0",7,2,"0",9
"","","94","94 Jahre",5,"0",1,3,3,6,"0",5,1,"0",6
"","","95","95 Jahre",3,"0",3,1,5,6,"0",4,2,"0",6
"","","96","96 Jahre",1,"0","0","0",1,1,"0",1,"0","0",1
"","","98","98 Jahre",1,"0","0","0",1,1,"0",1,"0","0",1
"","","Summe","",2.954,2.113,4.861,4.989,4.939,7.404,2.524,4.586,2.818,2.524,9.928
"005","Sontheim","00","0 Jahre",3,7,100,56,54,101,9,33,68,9,110
"","","01","1 Jahr",9,17,83,45,64,95,14,29,66,14,109
"","","02","2 Jahre",16,18,89,62,61,108,15,31,77,15,123
"","","03","3 Jahre",22,10,80,58,54,97,15,28,69,15,112
"","","04","4 Jahre",12,17,70,50,49,84,15,28,56,15,99
"","","05","5 Jahre",19,17,68,50,54,97,7,29,68,7,104
"","","06","6 Jahre",22,18,70,53,57,97,13,28,69,13,110
"","","07","7 Jahre",18,17,56,48,43,75,16,14,61,16,91
"","","08","8 Jahre",19,19,67,53,52,96,9,29,67,9,105
"","","09","9 Jahre",17,22,56,45,50,77,18,19,58,18,95
"","","10","10 Jahre",29,24,72,64,61,111,14,28,83,14,125
"","","11","11 Jahre",23,22,67,51,61,101,11,29,72,11,112
"","","12","12 Jahre",26,22,54,50,52,84,18,23,61,18,102
"","","13","13 Jahre",23,17,58,46,52,76,22,24,52,22,98
"","","14","14 Jahre",32,16,55,61,42,91,12,29,62,12,103
"","","15","15 Jahre",30,29,51,55,55,94,16,34,60,16,110
"","","16","16 Jahre",28,26,54,52,56,88,20,25,63,20,108
"","","17","17 Jahre",39,25,53,55,62,99,18,39,60,18,117
"","","18","18 Jahre",46,28,64,85,53,114,24,59,55,24,138
"","","19","19 Jahre",48,47,67,87,75,114,48,60,54,48,162
"","","20","20 Jahre",49,46,101,94,102,140,56,87,53,56,196
"","","21","21 Jahre",73,47,98,116,102,147,71,96,51,71,218
"","","22","22 Jahre",51,53,93,108,89,140,57,86,54,57,197
"","","23","23 Jahre",68,38,90,122,74,135,61,95,40,61,196
"","","24","24 Jahre",61,46,106,133,80,148,65,91,57,65,213
"","","25","25 Jahre",47,40,106,113,80,134,59,81,53,59,193
"","","26","26 Jahre",38,36,90,93,71,112,52,71,41,52,164
"","","27","27 Jahre",56,43,88,105,82,131,56,87,44,56,187
"","","28","28 Jahre",52,43,90,101,84,132,53,80,52,53,185
"","","29","29 Jahre",40,40,74,73,81,104,50,68,36,50,154
"","","30","30 Jahre",32,26,92,80,70,94,56,57,37,56,150
"","","31","31 Jahre",51,40,94,99,86,130,55,81,49,55,185
"","","32","32 Jahre",41,40,84,80,85,115,50,62,53,50,165
"","","33","33 Jahre",36,31,74,77,64,101,40,62,39,40,141
"","","34","34 Jahre",34,34,86,92,62,115,39,61,54,39,154
"","","35","35 Jahre",44,25,96,90,75,117,48,63,54,48,165
"","","36","36 Jahre",36,37,78,71,80,102,49,55,47,49,151
"","","37","37 Jahre",46,37,80,84,79,101,62,57,44,62,163
"","","38","38 Jahre",34,30,70,71,63,99,35,52,47,35,134
"","","39","39 Jahre",28,32,86,75,71,101,45,50,51,45,146
"","","40","40 Jahre",25,34,74,76,57,84,49,37,47,49,133
"","","41","41 Jahre",40,28,77,79,66,99,46,52,47,46,145
"","","42","42 Jahre",29,36,74,63,76,88,51,45,43,51,139
"","","43","43 Jahre",28,24,61,55,58,79,34,34,45,34,113
"","","44","44 Jahre",35,31,71,70,67,91,46,44,47,46,137
"","","45","45 Jahre",37,29,75,64,77,99,42,46,53,42,141
"","","46","46 Jahre",32,34,76,73,69,98,44,48,50,44,142
"","","47","47 Jahre",39,32,78,78,71,102,47,57,45,47,149
"","","48","48 Jahre",33,33,87,73,80,120,33,63,57,33,153
"","","49","49 Jahre",32,42,75,76,73,105,44,67,38,44,149
"","","50","50 Jahre",45,46,86,85,92,137,40,75,62,40,177
"","","51","51 Jahre",51,40,81,82,90,130,42,84,46,42,172
"","","52","52 Jahre",47,44,84,85,90,144,31,88,56,31,175
"","","53","53 Jahre",56,58,73,98,89,152,35,97,55,35,187
"","","54","54 Jahre",51,52,75,85,93,147,31,99,48,31,178
"","","55","55 Jahre",59,42,55,77,79,137,19,86,51,19,156
"","","56","56 Jahre",47,63,68,96,82,154,24,95,59,24,178
"","","57","57 Jahre",52,43,65,75,85,137,23,86,51,23,160
"","","58","58 Jahre",51,49,54,82,72,135,19,65,70,19,154
"","","59","59 Jahre",46,45,58,74,75,133,16,77,56,16,149
"","","60","60 Jahre",57,49,61,76,91,151,16,90,61,16,167
"","","61","61 Jahre",50,41,61,71,81,133,19,71,62,19,152
"","","62","62 Jahre",50,46,51,76,71,127,20,80,47,20,147
"","","63","63 Jahre",41,46,66,74,79,137,16,82,55,16,153
"","","64","64 Jahre",57,41,50,72,76,126,22,80,46,22,148
"","","65","65 Jahre",41,38,45,60,64,107,17,67,40,17,124
"","","66","66 Jahre",40,38,49,55,72,112,15,65,47,15,127
"","","67","67 Jahre",41,38,45,64,60,113,11,74,39,11,124
"","","68","68 Jahre",39,32,53,61,63,112,12,70,42,12,124
"","","69","69 Jahre",48,43,34,54,71,119,6,96,23,6,125
"","","70","70 Jahre",43,39,40,60,62,100,22,82,18,22,122
"","","71","71 Jahre",44,21,32,43,54,89,8,78,11,8,97
"","","72","72 Jahre",34,20,31,37,48,70,15,57,13,15,85
"","","73","73 Jahre",29,24,28,35,46,71,10,55,16,10,81
"","","74","74 Jahre",44,21,26,47,44,86,5,60,26,5,91
"","","75","75 Jahre",37,24,33,34,60,86,8,61,25,8,94
"","","76","76 Jahre",45,35,23,49,54,91,12,65,26,12,103
"","","77","77 Jahre",39,36,23,41,57,88,10,63,25,10,98
"","","78","78 Jahre",61,39,24,42,82,111,13,77,34,13,124
"","","79","79 Jahre",52,49,28,57,72,121,8,84,37,8,129
"","","80","80 Jahre",49,31,19,46,53,91,8,76,15,8,99
"","","81","81 Jahre",48,33,20,42,59,95,6,66,29,6,101
"","","82","82 Jahre",54,26,17,41,56,90,7,67,23,7,97
"","","83","83 Jahre",50,37,21,39,69,100,8,73,27,8,108
"","","84","84 Jahre",28,32,12,27,45,71,1,52,19,1,72
"","","85","85 Jahre",28,25,7,21,39,58,2,48,10,2,60
"","","86","86 Jahre",24,26,3,19,34,51,2,35,16,2,53
"","","87","87 Jahre",23,16,9,12,36,45,3,33,12,3,48
"","","88","88 Jahre",32,21,8,13,48,60,1,46,14,1,61
"","","89","89 Jahre",25,22,6,15,38,52,1,42,10,1,53
"","","90","90 Jahre",15,18,4,10,27,33,4,28,5,4,37
