stop_id,stop_name,stop_lat,stop_lon
de:08125:573:0:>West,"Oedheim, Hauptstraße,Oedheim",49.238951,9.252486
de:08125:574:0:>Ost,"Oedheim, Neuenstädter Straße,Oedheim",49.239930,9.263553
de:08125:574:0:>West,"Oedheim, Neuenstädter Straße,Oedheim",49.240094,9.263589
de:08125:575:0:nNeue,"Neuenstadt (K), Fa. Bordt,Neuenstadt a Kocher",49.236165,9.323183
de:08125:575:0:nStei,"Neuenstadt (K), Fa. Bordt,Neuenstadt a Kocher",49.236253,9.323156
de:08125:577:0:nKoch,"Stein (K), Mäurich,Stein a Kocher",49.257305,9.298102
de:08125:577:0:nStei,"Stein (K), Mäurich,Stein a Kocher",49.257370,9.298300
de:08125:578:0:>Nsta,"Stein (K), Grüner Baum,Stein a Kocher",49.260283,9.298659
de:08125:578:0:>Stei,"Stein (K), Grüner Baum,Stein a Kocher",49.260295,9.298345
de:08125:579,"Stein (K), Turnhalle,Stein a Kocher",49.262939,9.297150
de:08125:580,"Kochersteinsfeld, Kelter,Kochersteinsfeld",49.241783,9.401328
de:08125:581,"Lampoldshausen, Lamprechtstraße,Lampoldshausen",49.262535,9.401381
de:08125:583,"Kochersteinsfeld, Post,Kochersteinsfeld",49.242288,9.400133
de:08125:584:0:>Lhsn,"Gochsen, Austraße,Gochsen",49.239789,9.361757
de:08125:584:0:>NSta,"Gochsen, Austraße,Gochsen",49.240042,9.361927
de:08125:585,Langenbeutingen Lagerhaus,49.212662,9.415431
de:08125:586,"Langenbeutingen, Mitte,Langenbeutingen",49.214123,9.411200
de:08125:587:0:>Nord,"Brettach, Gemeindehalle,Brettach (Langenbr.)",49.223423,9.381376
de:08125:587:0:>Sued,"Brettach, Gemeindehalle,Brettach (Langenbr.)",49.223558,9.381232
de:08125:588:0:>NW,"Brettach, Neuenstädter Straße,Brettach (Langenbr.)",49.227201,9.376561
de:08125:588:0:>SO,"Brettach, Neuenstädter Straße,Brettach (Langenbr.)",49.227102,9.376462
de:08125:589,"Langenbeutingen, Mühlweg,Langenbeutingen",49.216147,9.405936
de:08125:590,"Langenbeutingen, Schulstraße,Langenbeutingen",49.213654,9.416554
de:08125:591:0:>Ost,"Gochsen, Go. Buchsmühle,Gochsen",49.243924,9.373650
de:08125:591:0:>West,"Gochsen, Go. Buchsmühle,Gochsen",49.244024,9.373516
de:08125:627:0:2,"Neckarsulm, Marktstraße,Neckarsulm",49.192365,9.224988
de:08125:706,"Oedheim, Marktplatz,Oedheim",49.239731,9.256124
de:08125:709:0:R.Nst,"Kochertürn, Theo-Förch-Straße,Kochertürn",49.242563,9.304372
de:08125:709:0:R.Ste,"Kochertürn, Theo-Förch-Straße,Kochertürn",49.241408,9.305468
de:08125:7500,Möckmühl Brandhölzle,49.313552,9.371665
de:08125:77012:0:1,"Amorbach, Haydnweg,Amorbach (Neckarsulm",49.210473,9.251075
de:08125:77012:0:2,"Amorbach, Haydnweg,Amorbach (Neckarsulm",49.210467,9.251102
de:08125:79024:0:1,"Neuenstadt, Seewiesen,Neuenstadt a Kocher",49.225259,9.327729
de:08125:79024:0:2,"Neuenstadt, Seewiesen,Neuenstadt a Kocher",49.225336,9.327756
de:08125:79036:0:1,"Neuenstadt, Im Daistler,Neuenstadt a Kocher",49.228081,9.335122
de:08125:79036:0:2,"Neuenstadt, Im Daistler,Neuenstadt a Kocher",49.227841,9.335023
de:08125:79038:0:1,"Oedheim, Neuberg,Oedheim",49.235449,9.249306
de:08125:79039:0:1,Oedheim Am Bautzenwald,49.243672,9.246880
de:08125:79039:0:2,Oedheim Am Bautzenwald,49.243707,9.246907
de:08125:79040:0:1,"Oedheim, Heuchlinger Straße,Oedheim",49.240874,9.250761
de:08125:79040:0:2,"Oedheim, Heuchlinger Straße,Oedheim",49.240804,9.250599
de:08125:79446,Langenbeutingen Bössinger Str.,49.212703,9.418548
de:08125:79447,Langenbeutingen Rimmlingshof,49.217538,9.436793
de:08125:79457:0:>Ost,"Neuenstadt, GIK,Neuenstadt a Kocher",49.235220,9.353735
de:08125:79457:0:>West,"Neuenstadt, GIK,Neuenstadt a Kocher",49.235167,9.353708
de:08125:79458:0:1,"Neuenstadt, Betriebshof,Neuenstadt a Kocher",49.233390,9.357616
de:08125:79475:0:>Ost,"Brettach, Seligenau,Brettach (Langenbr.)",49.220583,9.369644
de:08125:79475:0:>West,"Brettach, Seligenau,Brettach (Langenbr.)",49.220695,9.369635
de:08125:79480:0:nDegm,"Degmarn, Landesstraße,Degmarn",49.237901,9.292874
de:08125:79480:0:nKoch,"Degmarn, Landesstraße,Degmarn",49.237883,9.292685
de:08125:9003,Neudeck Wiesenhof,49.201534,9.411011
de:08125:910,Möckmühl Schulzentrum,49.321896,9.366832
de:08125:911:0:1,Möckmühl Im Haag,49.322499,9.359906
de:08125:911:0:2,Möckmühl Im Haag,49.322452,9.360050
de:08125:912:1,Möckmühl Bahnhof,49.321112,9.358774
de:08125:9230:0:nHN,"Dahenfeld, Industriestraße,Dahenfeld",49.212897,9.298497
de:08125:9230:0:vHN,"Dahenfeld, Industriestraße,Dahenfeld",49.212985,9.298399
de:08125:9231:0:nNst,"Dahenfeld, Bismarckstraße,Dahenfeld",49.211177,9.300429
de:08125:9231:0:vNst,"Dahenfeld, Bismarckstraße,Dahenfeld",49.211177,9.300366
de:08125:9249,"Neckarsulm, Bhf. Ost/Vorplatz,Neckarsulm",49.188919,9.220335
de:08125:9429:0:nNst,"Cleversulzbach, Kieshofstraße,Cleversulzbach",49.215285,9.357517
de:08125:9429:0:vNst,"Cleversulzbach, Kieshofstraße,Cleversulzbach",49.215273,9.357445
de:08125:9430,"Brettach, Cleversulzbacher Straße,Brettach (Langenbr.)",49.223147,9.381322
de:08125:958:0:1,Eschenau Schule,49.139771,9.403178
de:08125:958:0:2,Eschenau Schule,49.139812,9.403286
de:08125:973:0:1,Stollenhof Abzw Wüstenrot,49.096304,9.450295
de:08125:974:0:1,Wüstenrot-Spatzenhof,49.091522,9.456781
de:08125:974:0:2,Wüstenrot-Spatzenhof,49.091981,9.455936
de:08125:975:0:1,Wüstenrot Im Neubruch,49.087968,9.461021
de:08125:975:0:2,Wüstenrot Im Neubruch,49.088033,9.461030
de:08125:984:0:1,Wüstenrot Schule,49.084133,9.461775
de:08125:984:0:2,Wüstenrot Schule,49.084133,9.461802
de:08125:985:0:1,Wüstenrot Freibad,49.088010,9.463769
de:08125:985:0:2,Wüstenrot Freibad,49.088027,9.463769
de:08125:986:0:1,Weihenbronn Fa. Trefz,49.094604,9.480307
de:08125:986:0:2,Weihenbronn Fa. Trefz,49.094604,9.480307
de:08125:987:0:1,Neuhütten Friedhof,49.101409,9.483290
de:08125:987:0:2,Neuhütten Friedhof,49.101192,9.483344
de:08125:988:0:1,Neuhütten Post,49.104862,9.485221
de:08125:988:0:2,Neuhütten Post,49.105032,9.485293
de:08125:990:0:1,Maienfels Abzw Maienfels,49.118863,9.495471
de:08125:990:0:2,Maienfels Abzw Maienfels,49.118863,9.495471
de:08125:991:0:1,Wüstenrot-Berg,49.122196,9.498804
de:08125:991:0:2,Wüstenrot-Berg,49.122472,9.499019
de:08125:992:0:1,Oberheimbach,49.127557,9.497196
